Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
European Union,EUU,"Population, female",SP.POP.TOTL.FE.IN,250104418,250526010,251067134,251897841,252810684,253728268,254609717,255544391,256462867,257194280,257720949,257481857,258014979,258750269,259511223,260240363,261072529
European Union,EUU,"Population, male",SP.POP.TOTL.MA.IN,238074412,238629656,239323117,240302274,241351861,242386743,243363990,244372258,245345611,246123684,246700182,246530225,247089355,247842188,248646024,249462952,250424886
European Union,EUU,"Population, total",SP.POP.TOTL,488178830,489155666,490390251,492200115,494162545,496115011,497973707,499916649,501808478,503317964,504421131,504012082,505104334,506592457,508157247,509703315,511497415
Fragile and conflict affected situations,FCS,"Population, female",SP.POP.TOTL.FE.IN,170156466,174475579,178958390,183588828,188338417,193185045,198130856,203180795,208324531,213536514,218804226,224124077,229503368,234961746,240527670,246223873,252050600
Fragile and conflict affected situations,FCS,"Population, male",SP.POP.TOTL.MA.IN,169377102,173776935,178387699,183160198,188018872,192909404,197819829,202770707,207785191,212886121,218095081,223420208,228856280,234403657,240061173,245829933,251705024
Fragile and conflict affected situations,FCS,"Population, total",SP.POP.TOTL,341295147,350015363,359110192,368514375,378123879,387862311,397732436,407747286,417919663,428246870,438737943,449398455,460228236,471253115,482474449,493919601,505635987
Heavily indebted poor countries (HIPC),HPC,"Population, female",SP.POP.TOTL.FE.IN,238604120,245409263,252481305,259798055,267320391,275020900,282895850,290959517,299222988,307702516,316409765,325347313,334510153,343893659,353490245,363293768,373302399
Heavily indebted poor countries (HIPC),HPC,"Population, male",SP.POP.TOTL.MA.IN,236331436,243143777,250229371,257554504,265064806,272723533,280519257,288474540,296626819,305029008,313717671,322705940,331978470,341508301,351255175,361188884,371300577
Heavily indebted poor countries (HIPC),HPC,"Population, total",SP.POP.TOTL,474935556,488553040,502710676,517352559,532385197,547744433,563415107,579434057,595849807,612731524,630127436,648053253,666488623,685401960,704745420,724482652,744602976
High income,HIC,"Population, female",SP.POP.TOTL.FE.IN,542130153,545542283,548932878,552268872,555744840,559261993,563024698,567004221,571252006,575027324,578436182,580871849,584086704,587361952,590728471,593988541,597284231
High income,HIC,"Population, male",SP.POP.TOTL.MA.IN,527665299,531381621,535168977,538997036,543051172,547228507,551738022,556529815,561609454,566180894,570297243,573347248,577028318,580691317,584442992,588141501,591940135
High income,HIC,"Population, total",SP.POP.TOTL,1070496404,1077634323,1084822379,1091996228,1099536199,1107240168,1115520890,1124299890,1133634254,1141985286,1149511694,1154998991,1161900127,1168843771,1175966521,1182929820,1190029421
IBRD only,IBD,"Population, female",SP.POP.TOTL.FE.IN,1966118618,1988561896,2010463203,2032200255,2053829179,2075451869,2096923134,2118199001,2139607535,2161335227,2182959917,2204779599,2226971955,2249291445,2271565907,2293704642,2315816844
IBRD only,IBD,"Population, male",SP.POP.TOTL.MA.IN,2016249933,2039739949,2062822889,2085818354,2108732222,2131632498,2154350057,2176830699,2199385729,2222164456,2244756189,2267433602,2290361287,2313314769,2336155138,2358785594,2381340900
IBRD only,IBD,"Population, total",SP.POP.TOTL,3982443142,4028377292,4073362380,4118095711,4162639289,4207162999,4251352513,4295109674,4339073871,4383580939,4427798045,4472295862,4517416870,4562691125,4607807731,4652578287,4697247117
IDA & IBRD total,IBT,"Population, female",SP.POP.TOTL.FE.IN,2506420480,2541976706,2577216505,2612544896,2648055265,2683865678,2719855537,2755996957,2792588521,2829764699,2867230022,2905098028,2943409532,2982129623,3021119636,3060308098,3099793205
IDA & IBRD total,IBT,"Population, male",SP.POP.TOTL.MA.IN,2560532954,2597268992,2633882349,2670659276,2707557486,2744605580,2781630005,2818627678,2855966549,2893865301,2932126588,2970871536,3010098139,3049740035,3089613339,3129582112,3169756608
IDA & IBRD total,IBT,"Population, total",SP.POP.TOTL,5068859280,5141153664,5213009069,5285116716,5357527608,5430388379,5503417422,5576571343,5650516692,5725606720,5801348625,5877978113,5955531931,6033914681,6112778045,6191917218,6271593092
IDA blend,IDB,"Population, female",SP.POP.TOTL.FE.IN,178114252,182153502,186240913,190396892,194659676,199054387,203593226,208295828,213163541,218184630,223507602,228960663,234376022,239919938,245569600,251294067,257075317
IDA blend,IDB,"Population, male",SP.POP.TOTL.MA.IN,182866539,187023137,191233367,195513363,199895674,204401916,209041837,213837457,218798154,223923482,229368379,234965431,240545460,246269522,252109256,258029154,264010533
IDA blend,IDB,"Population, total",SP.POP.TOTL,361050467,369246309,377544104,385980348,394625729,403526930,412705870,422204235,432032769,442179341,452947421,463997812,474993526,486261860,497751634,509396383,521159393
IDA only,IDX,"Population, female",SP.POP.TOTL.FE.IN,362187610,371261308,380512389,389947749,399566410,409359422,419339177,429502128,439817445,450244842,460762503,471357766,482061555,492918240,503984129,515309389,526901044
IDA only,IDX,"Population, male",SP.POP.TOTL.MA.IN,361416482,370505906,379826093,389327559,398929590,408571166,418238111,427959522,437782666,447777363,458002020,468472503,479191392,490155744,501348945,512767364,524405175
IDA only,IDX,"Population, total",SP.POP.TOTL,725365671,743530063,762102585,781040657,800262590,819698450,839359039,859257434,879410052,899846440,920603159,941684439,963121535,984961696,1007218680,1029942548,1053186582
IDA total,IDA,"Population, female",SP.POP.TOTL.FE.IN,540301862,553414810,566753302,580344641,594226086,608413809,622932403,637797956,652980986,668429472,684270105,700318429,716437577,732838178,749553729,766603456,783976361
IDA total,IDA,"Population, male",SP.POP.TOTL.MA.IN,544283021,557529043,571059460,584840922,598825264,612973082,627279948,641796979,656580820,671700845,687370399,703437934,719736852,736425266,753458201,770796518,788415708
IDA total,IDA,"Population, total",SP.POP.TOTL,1086416138,1112776372,1139646689,1167021005,1194888319,1223225380,1252064909,1281461669,1311442821,1342025781,1373550580,1405682251,1438115061,1471223556,1504970314,1539338931,1574345975
Late-demographic dividend,LTE,"Population, female",SP.POP.TOTL.FE.IN,1013215745,1020582059,1027448317,1034104503,1040665410,1047208785,1053591806,1059752934,1065965902,1072354028,1078491588,1084735362,1091166645,1097686985,1104273837,1110828060,1117539470
Late-demographic dividend,LTE,"Population, male",SP.POP.TOTL.MA.IN,1031189983,1038769041,1045924691,1052957670,1060006876,1067172969,1074312829,1081339346,1088478486,1095769599,1102758555,1109767892,1116882962,1124002424,1131108698,1138099134,1145170425
Late-demographic dividend,LTE,"Population, total",SP.POP.TOTL,2044405728,2059351100,2073373008,2087062173,2100672286,2114381754,2127904635,2141092280,2154444388,2168123627,2181250143,2194503254,2208049607,2221689409,2235382535,2248927194,2262709895
Latin America & Caribbean,LCN,"Population, female",SP.POP.TOTL.FE.IN,264681082,268424439,272090353,275706843,279312473,282934522,286578888,290239014,293908003,297569723,301211122,304816340,308396468,311944872,315440066,318879695,322259709
Latin America & Caribbean,LCN,"Population, male",SP.POP.TOTL.MA.IN,259893008,263489479,267018688,270503726,273976880,277460456,280958707,284466164,287977758,291480762,294964405,298414285,301839838,305233504,308573533,311856386,315078137
Latin America & Caribbean,LCN,"Population, total",SP.POP.TOTL,524829248,532173135,539373531,546480559,553565401,560677294,567825874,574999132,582185012,589352524,596477846,603534610,610545003,617492351,624331830,631058524,637664490
Latin America & Caribbean (excluding high income),LAC,"Population, female",SP.POP.TOTL.FE.IN,252125283,255763250,259326320,262842266,266349160,269874713,273427224,276998600,280579503,284153962,287708764,291241864,294753051,298232645,301669146,305053373,308379619
Latin America & Caribbean (excluding high income),LAC,"Population, male",SP.POP.TOTL.MA.IN,247801546,251298234,254730469,258120681,261500153,264891230,268300237,271720337,275144457,278560398,281957668,285334704,288690315,292014100,295293439,298518330,301683235
Latin America & Caribbean (excluding high income),LAC,"Population, total",SP.POP.TOTL,499996505,507131154,514126613,521033040,527919692,534836570,541798268,548789887,555795034,562785589,569737872,576648286,583515410,590319145,597035363,603644865,610136397
Latin America & the Caribbean (IDA & IBRD countries),TLA,"Population, female",SP.POP.TOTL.FE.IN,256680949,260398017,264039698,267634773,271222671,274831903,278471479,282132659,285803884,289466132,293104067,296714611,300298416,303847673,307353756,310809432,314209623
Latin America & the Caribbean (IDA & IBRD countries),TLA,"Population, male",SP.POP.TOTL.MA.IN,252030711,255606434,259114604,262579813,266036367,269508650,273004029,276514660,280030938,283537022,287019844,290476794,293907692,297303964,300655774,303955087,307196934
Latin America & the Caribbean (IDA & IBRD countries),TLA,"Population, total",SP.POP.TOTL,508826710,516120111,523270767,530331985,537377388,544459791,551595525,558768052,565956228,573125269,580246796,587315129,594330743,601277206,608136047,614891969,621534921
Least developed countries: UN classification,LDC,"Population, female",SP.POP.TOTL.FE.IN,333361144,341928736,350719817,359699655,368816643,378036579,387345969,396765797,406338475,416123553,426163994,436474545,447041560,457844914,468852095,480038819,491398333
Least developed countries: UN classification,LDC,"Population, male",SP.POP.TOTL.MA.IN,331434199,339993978,348831287,357863470,366970046,376071466,385132860,394202101,403382182,412819326,422617437,432812933,443371189,454238263,465329318,476581288,487978495
Least developed countries: UN classification,LDC,"Population, total",SP.POP.TOTL,664804763,681932226,699560739,717572892,735796583,754118072,772488966,790978141,809730997,828953320,848791962,869298106,890423474,912093996,934192321,956631108,979387925
Low & middle income,LMY,"Population, female",SP.POP.TOTL.FE.IN,2495331134,2530942976,2566241225,2601631885,2637196759,2673050485,2709077873,2745248576,2781857901,2819044584,2856595374,2894494291,2932852974,2971636243,3010693515,3049945966,3089500180
Low & middle income,LMY,"Population, male",SP.POP.TOTL.MA.IN,2550348937,2587160071,2623858083,2660726806,2697707694,2734822423,2771901186,2808939869,2846305426,2884222960,2922573894,2961359089,3000641423,3040353860,3080300466,3120337657,3160583423
Low & middle income,LMY,"Population, total",SP.POP.TOTL,5047578889,5120003794,5192002039,5264263346,5336810799,5409780630,5482900367,5556123157,5630111419,5705229263,5781145005,5857844644,5935500538,6014016344,6093019655,6172290592,6252106157
Low income,LIC,"Population, female",SP.POP.TOTL.FE.IN,214451610,220392919,226538037,232877471,239393791,246075071,252918943,259932750,267125476,274509540,282093242,289879336,297862554,306033617,314379069,322888517,331558190
Low income,LIC,"Population, male",SP.POP.TOTL.MA.IN,210677942,216600895,222772147,229156918,235700597,242365842,249140468,256044707,263112072,270390744,277914202,285693179,293713608,301953734,310380845,318970091,327714486
Low income,LIC,"Population, total",SP.POP.TOTL,425129552,436993814,449310184,462034389,475094388,488440913,502059411,515977457,530237548,544900284,560007444,575572515,591576162,607987351,624759914,641858608,659272676
Lower middle income,LMC,"Population, female",SP.POP.TOTL.FE.IN,1147780161,1167966843,1188153204,1208419434,1228777219,1249195320,1269678957,1290261508,1310941749,1331717609,1352709879,1373752853,1394713966,1415745427,1436796981,1457984700,1479213111
Lower middle income,LMC,"Population, male",SP.POP.TOTL.MA.IN,1188298694,1209385572,1230514472,1251742940,1273060683,1294418673,1315815742,1337282836,1358810082,1380383665,1402117186,1423839654,1445415405,1467004479,1488575535,1510233658,1531894495
Lower middle income,LMC,"Population, total",SP.POP.TOTL,2337778855,2379053569,2420369986,2461865840,2503542524,2545319773,2587214235,2629277748,2671499214,2713862748,2756602745,2799383507,2841934571,2884574006,2927194316,2970020158,3012923806
Middle East & North Africa,MEA,"Population, female",SP.POP.TOTL.FE.IN,155394476,158252288,161045613,163851992,166777811,169894822,173225789,176745654,180421634,184210161,188017223,191861906,195743713,199625961,203466228,207235452,210905629
Middle East & North Africa,MEA,"Population, male",SP.POP.TOTL.MA.IN,161734751,164944066,168243822,171670853,175268966,179061465,183061904,187250663,191578028,195982426,200358883,204711342,209038734,213324446,217556613,221726272,225815093
Middle East & North Africa,MEA,"Population, total",SP.POP.TOTL,317129227,323196354,329289435,335522845,342046777,348956287,356287693,363996317,371999662,380192587,388376106,396573248,404782447,412950407,421022841,428961724,436720722
Middle East & North Africa (excluding high income),MNA,"Population, female",SP.POP.TOTL.FE.IN,139192005,141643729,144046346,146454141,148940867,151559043,154326454,157226837,160241656,163326126,166448547,169608126,172805186,176016844,179216394,182385214,185506432
Middle East & North Africa (excluding high income),MNA,"Population, male",SP.POP.TOTL.MA.IN,141763285,144372396,147004655,149660395,152337428,155036171,157752853,160494324,163289493,166162809,169133010,172213917,175390511,178624200,181861603,185064092,188212623
Middle East & North Africa (excluding high income),MNA,"Population, total",SP.POP.TOTL,280955290,286016125,291051001,296114536,301278295,306595214,312079307,317721161,323531149,329488935,335581557,341822043,348195697,354641044,361077997,367449306,373719055
Middle East & North Africa (IDA & IBRD countries),TMN,"Population, female",SP.POP.TOTL.FE.IN,137751295,140165866,142530349,144899016,147345577,149922534,152647634,155504587,158469050,161501510,164570276,167672719,170810719,173961959,177099813,180205790,183263181
Middle East & North Africa (IDA & IBRD countries),TMN,"Population, male",SP.POP.TOTL.MA.IN,140281842,142852475,145445279,148060551,150696092,153352284,156025339,158722078,161465411,164285207,167200179,170222273,173338077,176509579,179683502,182821373,185904308
Middle East & North Africa (IDA & IBRD countries),TMN,"Population, total",SP.POP.TOTL,278033137,283018341,287975628,292959567,298041669,303274818,308672973,314226665,319934461,325786717,331770455,337894992,344148796,350471538,356783315,363027163,369167489
Middle income,MIC,"Population, female",SP.POP.TOTL.FE.IN,2280879524,2310550057,2339703188,2368754414,2397802968,2426975414,2456158930,2485315826,2514732425,2544535044,2574502132,2604614955,2634990420,2665602626,2696314446,2727057449,2757941990
Middle income,MIC,"Population, male",SP.POP.TOTL.MA.IN,2339670995,2370559176,2401085936,2431569888,2462007097,2492456581,2522760718,2552895162,2583193354,2613832216,2644659692,2675665910,2706927815,2738400126,2769919621,2801367566,2832868937
Middle income,MIC,"Population, total",SP.POP.TOTL,4622449337,4683009980,4742691855,4802228957,4861716411,4921339717,4980840956,5040145700,5099873871,5160328979,5221137561,5282272129,5343924376,5406028993,5468259741,5530431984,5592833481
North America,NAC,"Population, female",SP.POP.TOTL.FE.IN,158718296,160235211,161662138,163021985,164498486,165987290,167530917,169104533,170707099,172226251,173685470,174985421,176324791,177593900,178931538,180215639,181518242
North America,NAC,"Population, male",SP.POP.TOTL.MA.IN,154213815,155815644,157325055,158761948,160301812,161841309,163419500,165014602,166632640,168173849,169667997,171020717,172424133,173766459,175176482,176529589,177895696
North America,NAC,"Population, total",SP.POP.TOTL,312993944,316113359,319050105,321847258,324864038,327892753,331014940,334184023,337405012,340465736,343418591,346070702,348813722,351425360,354173159,356810463,359479269
Not classified,INX,"Population, female",SP.POP.TOTL.FE.IN,,,,,,,,,,,,,,,,,
Not classified,INX,"Population, male",SP.POP.TOTL.MA.IN,,,,,,,,,,,,,,,,,
Not classified,INX,"Population, total",SP.POP.TOTL,,,,,,,,,,,,,,,,,
OECD members,OED,"Population, female",SP.POP.TOTL.FE.IN,588183830,592209519,596248795,600297385,604392129,608515615,612846397,617350760,622108947,626483331,630558196,633711294,637605724,641632298,645802062,649884176,654061998
OECD members,OED,"Population, male",SP.POP.TOTL.MA.IN,568384840,572575510,576797358,581031457,585292597,589549517,593974679,598532262,603317745,607719902,611833327,615058021,618993540,623062925,627307905,631517527,635875321
OECD members,OED,"Population, total",SP.POP.TOTL,1156568670,1164785029,1173046153,1181328842,1189684726,1198065132,1206821076,1215883022,1225426692,1234203233,1242391523,1248769315,1256599264,1264695223,1273109967,1281401703,1289937319
Other small states,OSS,"Population, female",SP.POP.TOTL.FE.IN,10459972,10641433,10824547,11010889,11204195,11408015,11622823,11848934,12083901,12318143,12564437,12818003,13081749,13351729,13623595,13896117,14165436
Other small states,OSS,"Population, male",SP.POP.TOTL.MA.IN,10457598,10659899,10872056,11103748,11369036,11677698,12034757,12434810,12858429,13272052,13673995,14052511,14414156,14762057,15103326,15445007,15785170
Other small states,OSS,"Population, total",SP.POP.TOTL,20944988,21329094,21724724,22143131,22602097,23114953,23687194,24313721,24972681,25620918,26269542,26902018,27527819,28146089,28759578,29374084,29983809
Pacific island small states,PSS,"Population, female",SP.POP.TOTL.FE.IN,917890,928402,938570,948803,959600,971340,984235,998122,1012681,1027400,1041958,1056229,1070276,1084275,1098388,1112753,1127389
Pacific island small states,PSS,"Population, male",SP.POP.TOTL.MA.IN,955535,966159,976431,986720,997527,1009223,1021959,1035615,1049925,1064389,1078687,1092708,1106597,1120417,1134317,1148444,1162771
Pacific island small states,PSS,"Population, total",SP.POP.TOTL,1964221,1985713,2006441,2027202,2049012,2072666,2098522,2126308,2155439,2184920,2214096,2242763,2271298,2300045,2329458,2358955,2388875
Post-demographic dividend,PST,"Population, female",SP.POP.TOTL.FE.IN,520841278,523304780,525762610,528277518,530909496,533519438,536309497,539278097,542502916,545259001,547768656,549201128,551494379,553881518,556353443,558775030,561274554
Post-demographic dividend,PST,"Population, male",SP.POP.TOTL.MA.IN,499750573,502363662,504979717,507641442,510393646,513091387,515927182,518896415,522100389,524848589,527372329,528882131,531227839,533679096,536248226,538795875,541456429
Post-demographic dividend,PST,"Population, total",SP.POP.TOTL,1020591851,1025668442,1030742327,1035918960,1041303142,1046610825,1052236679,1058174512,1064603305,1070107590,1075140985,1078083259,1082722218,1087560614,1092601669,1097570905,1102730983
Pre-demographic dividend,PRE,"Population, female",SP.POP.TOTL.FE.IN,277674710,285555156,293789767,302351590,311191316,320274885,329596351,339176111,349036618,359209277,369715098,380562813,391740076,403221195,414969262,426957331,439176618
Pre-demographic dividend,PRE,"Population, male",SP.POP.TOTL.MA.IN,276422767,284404544,292763423,301458281,310420148,319601986,328990170,338612695,348512520,358750374,369367162,380379303,391765759,403484180,415473474,427688676,440115835
Pre-demographic dividend,PRE,"Population, total",SP.POP.TOTL,554097477,569959700,586553190,603809871,621611464,639876871,658586521,677788806,697549138,717959651,739082260,760942116,783505835,806705375,830442736,854646007,879292453
Small states,SST,"Population, female",SP.POP.TOTL.FE.IN,14609909,14825325,15042539,15263227,15491076,15729728,15979745,16241399,16512155,16782256,17064421,17353743,17653081,17958493,18265641,18573198,18877240
Small states,SST,"Population, male",SP.POP.TOTL.MA.IN,14596727,14832124,15076392,15339810,15637305,15979242,16370850,16806570,17266690,17717147,18155867,18571006,18969191,19353304,19730147,20106621,20480634
Small states,SST,"Population, total",SP.POP.TOTL,29439900,29892023,30354957,30840609,31367482,31949551,32592554,33291250,34023435,34745372,35467734,36173803,36873246,37565022,38251715,38937987,39618156
South Asia,SAS,"Population, female",SP.POP.TOTL.FE.IN,670479552,682786636,695052026,707250401,719347759,731319583,743153413,754851300,766423746,777888933,789274000,800578042,811793355,822923992,833980568,844954008,855858300
South Asia,SAS,"Population, male",SP.POP.TOTL.MA.IN,716024971,729206656,742398560,755525757,768484517,781201583,793645599,805837701,817823417,829673379,841455920,853178424,864820933,876382061,887859971,899236696,910525150
South Asia,SAS,"Population, total",SP.POP.TOTL,1386504523,1411993292,1437450586,1462776158,1487832276,1512521166,1536799012,1560689001,1584247163,1607562312,1630729920,1653756466,1676614288,1699306053,1721840539,1744190704,1766383450
South Asia (IDA & IBRD),TSA,"Population, female",SP.POP.TOTL.FE.IN,670479552,682786636,695052026,707250401,719347759,731319583,743153413,754851300,766423746,777888933,789274000,800578042,811793355,822923992,833980568,844954008,855858300
South Asia (IDA & IBRD),TSA,"Population, male",SP.POP.TOTL.MA.IN,716024971,729206656,742398560,755525757,768484517,781201583,793645599,805837701,817823417,829673379,841455920,853178424,864820933,876382061,887859971,899236696,910525150
South Asia (IDA & IBRD),TSA,"Population, total",SP.POP.TOTL,1386504523,1411993292,1437450586,1462776158,1487832276,1512521166,1536799012,1560689001,1584247163,1607562312,1630729920,1653756466,1676614288,1699306053,1721840539,1744190704,1766383450
Sub-Saharan Africa,SSF,"Population, female",SP.POP.TOTL.FE.IN,336669416,345537291,354740589,364244706,374074433,384247407,394775589,405658238,416884995,428435012,440295943,452461294,464939085,477724704,490815839,504210701,517906636
Sub-Saharan Africa,SSF,"Population, male",SP.POP.TOTL.MA.IN,333148763,342006635,351188571,360665378,370467991,380619184,391129426,401998592,413226005,424803640,436727194,448994462,461609092,474553927,487809243,501360100,515199499
Sub-Saharan Africa,SSF,"Population, total",SP.POP.TOTL,669818179,687543926,705929159.9,724910083.9,744542424,764866591.2,785905014.5,807656830,830111000.3,853238652.1,877023136.4,901455755.4,926548177.1,952278631.6,978625081.7,1005570801,1033106135
Sub-Saharan Africa (excluding high income),SSA,"Population, female",SP.POP.TOTL.FE.IN,336628696,345496494,354698485,364203066,374033013,384205948,394733536,405616343,416842542,428392666,440252471,452418783,464895796,477680127,490770099,504163576,517858686
