country_name,m49_code,iso3
Nauru,520,NRU
Nepal,524,NPL
Netherlands,528,NLD
New_Caledonia,540,NCL
New_Zealand,554,NZL
Nicaragua,558,NIC
Niger,562,NER
Nigeria,566,NGA
Niue,570,NIU
Norfolk_Island,574,NFK
Northern_Mariana_Islands,580,MNP
Norway,578,NOR
Oman,512,OMN
Pakistan,586,PAK
Palau,585,PLW
Panama,591,PAN
Papua_New_Guinea,598,PNG
Paraguay,600,PRY
Peru,604,PER
Philippines,608,PHL
Pitcairn,612,PCN
Poland,616,POL
Portugal,620,PRT
Puerto_Rico,630,PRI
Qatar,634,QAT
Republic_of_Korea,410,KOR
Republic_of_Moldova,498,MDA
Réunion,638,REU
Romania,642,ROU
Russian_Federation,643,RUS
Rwanda,646,RWA
Saint_Barthélemy,652,BLM
Saint_Helena,654,SHN
Saint_Kitts_and_Nevis,659,KNA
Saint_Lucia,662,LCA
Saint_Martin_(French_Part),663,MAF
Saint_Pierre_and_Miquelon,666,SPM
Saint_Vincent_and_the_Grenadines,670,VCT
Samoa,882,WSM
San_Marino,674,SMR
Sao_Tome_and_Principe,678,STP
Sark,680,
Saudi_Arabia,682,SAU
Senegal,686,SEN
Serbia,688,SRB
Seychelles,690,SYC
Sierra_Leone,694,SLE
Singapore,702,SGP
Sint_Maarten_(Dutch_part),534,SXM
Slovakia,703,SVK
Slovenia,705,SVN
Solomon_Islands,090,SLB
Somalia,706,SOM
South_Africa,710,ZAF
South_Georgia_and_the_South_Sandwich_Islands,239,SGS
South_Sudan,728,SSD
Spain,724,ESP
Sri_Lanka,144,LKA
State_of_Palestine,275,PSE
Sudan,729,SDN
Suriname,740,SUR
Svalbard_and_Jan_Mayen_Islands,744,SJM
Swaziland,748,SWZ
Sweden,752,SWE
Switzerland,756,CHE
Syrian_Arab_Republic,760,SYR
Tajikistan,762,TJK
Thailand,764,THA
The_former_Yugoslav_Republic_of_Macedonia,807,MKD
Timor-Leste,626,TLS
Togo,768,TGO
Tokelau,772,TKL
Tonga,776,TON
Trinidad_and_Tobago,780,TTO
Tunisia,788,TUN
Turkey,792,TUR
Turkmenistan,795,TKM
Turks_and_Caicos_Islands,796,TCA
Tuvalu,798,TUV
Uganda,800,UGA
Ukraine,804,UKR
United_Arab_Emirates,784,ARE
United_Kingdom_of_Great_Britain_and_Northern_Ireland,826,GBR
United_Republic_of_Tanzania,834,TZA
United_States_Minor_Outlying_Islands,581,UMI
United_States_of_America,840,USA
United_States_Virgin_Islands,850,VIR
Uruguay,858,URY
Uzbekistan,860,UZB
Vanuatu,548,VUT
Venezuela_(Bolivarian_Republic_of),862,VEN
Viet_Nam,704,VNM
Wallis_and_Futuna_Islands,876,WLF
Western_Sahara,732,ESH
Yemen,887,YEM
Zambia,894,ZMB
Zimbabwe,716,ZWE
