,country,year,birth/1000,fertility/1000,health_exp/capita,health_exp_private_%GDP,health_exp_public_%GDP,health_exp_public_%govExp,health_exp_public_%totHealthExp,health_exp_%GDP,life_exp_F,life_exp_M,life_exp,risk_maternal_death_%,mortality/1000_adultF,mortality/1000_adultM,mortality/1000_infant,death_age<5,health_exp_outOfPocket_%privateExp,health_exp_outOfPocket_%totExp,sanitation_%pop,anemia_%age<5,anemia_nonpregnant_%age15-49,anemia_%pregnant,anemia_%age15-49,survival_>=age65_F,survival_>=age65_M,tuberculosis_%detect,tuberculosis_%txSuccess,Code,Region,Income group
20,Algeria,2007,22.555,2.662,150.5470392,1.1158411190000002,2.7055707910000004,8.14056074,70.80029201,3.82141191,74.957,72.391,73.64270732,0.401549272,97.069,122.99700000000001,26.4,23031.0,96.19473456,28.08858159,85.84785450000001,32.4,34.0,36.7,34.2,82.56555999999999,78.1266,80.0,90.0,DZA,Middle East & North Africa,Upper middle income
21,Algeria,2008,23.425,2.7489999999999997,206.4084034,1.139107517,3.0628038930000003,8.07079154,72.89072982,4.20191141,75.314,72.798,74.02531707,0.41784504200000006,95.34,120.79299999999999,25.3,23742.0,96.44961831,26.14678762,86.0990176,31.8,33.6,36.7,33.8,82.89502,78.53236,80.0,90.0,DZA,Middle East & North Africa,Upper middle income
22,Algeria,2009,24.189,2.8280000000000003,207.7212083,1.52145903,3.83796598,9.00945409,71.61152498,5.35942501,75.634,73.16199999999999,74.36785366,0.430704955,93.611,118.589,24.3,24345.0,96.69219471,27.44943955,86.33571658,31.2,33.3,36.8,33.5,83.22447,78.93811,80.0,91.0,DZA,Middle East & North Africa,Upper middle income
23,Algeria,2010,24.761999999999997,2.889,228.915952,1.523946154,3.593208526,9.64613475,70.21887652,5.11715468,75.918,73.48100000000001,74.66978049,0.439501341,91.882,116.385,23.5,24683.0,96.98237891,28.88244202,86.55884681,30.7,33.1,36.9,33.3,83.55393000000001,79.34387,80.0,89.0,DZA,Middle East & North Africa,Upper middle income
24,Algeria,2011,25.078000000000003,2.925,286.96884700000004,1.517199032,3.7757293080000003,9.3656612,71.33535663,5.29292834,76.17399999999999,73.76,74.93756098,0.446353481,90.15299999999999,114.181,22.8,24899.0,97.2335798,27.87165888,86.76889453,30.3,33.1,37.1,33.4,83.88339,79.74963000000001,80.0,92.0,DZA,Middle East & North Africa,Upper middle income
25,Algeria,2012,25.134,2.9360000000000004,335.2690912,1.62286183,4.52025089,9.98819159,73.58241816,6.14311272,76.41199999999999,74.009,75.18119512,0.44511594299999996,88.42299999999999,111.978,22.4,24980.0,97.28429079,25.70015713,86.96624817,29.9,33.3,37.4,33.6,84.21284,80.15538000000001,80.0,90.0,DZA,Middle East & North Africa,Upper middle income
26,Algeria,2013,24.945,2.924,345.6537041,1.9360236309999999,5.188359049,9.94780509,72.82538406,7.12438268,76.64399999999999,74.23899999999999,75.41217073,0.440503983,87.096,110.382,22.1,24920.0,97.28429079,26.436632399999997,87.1515072,29.7,33.6,37.7,33.9,84.49708000000001,80.45265,80.0,91.0,DZA,Middle East & North Africa,Upper middle income
27,Algeria,2014,24.522,2.89,361.7291743,1.96303251,5.24414553,9.90462275,72.76281369,7.20717804,76.873,74.456,75.63502439,0.430674102,85.76799999999999,108.786,22.0,24676.0,97.28429079,26.49750353,87.32515785,29.6,34.1,38.0,34.3,84.78133000000001,80.74993,80.0,88.0,DZA,Middle East & North Africa,Upper middle income
28,Algeria,2015,23.9,2.839,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,77.10300000000001,74.667,75.85529268,0.41934133,84.44,107.191,21.9,24269.0,-2.0,-2.0,87.48768636,29.7,34.7,38.4,34.9,85.06557,81.0472,80.0,-2.0,DZA,Middle East & North Africa,Upper middle income
29,Algeria,2016,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,30.0,35.5,38.9,35.7,-2.0,-2.0,-2.0,-2.0,DZA,Middle East & North Africa,Upper middle income
30,American Samoa,2007,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,62.40810979,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,87.0,100.0,ASM,East Asia & Pacific,Upper middle income
31,American Samoa,2008,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,62.37307319,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,87.0,100.0,ASM,East Asia & Pacific,Upper middle income
32,American Samoa,2009,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,62.3380366,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,87.0,100.0,ASM,East Asia & Pacific,Upper middle income
33,American Samoa,2010,18.7,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,62.303000000000004,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,87.0,100.0,ASM,East Asia & Pacific,Upper middle income
34,American Samoa,2011,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,62.2679634,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,87.0,-2.0,ASM,East Asia & Pacific,Upper middle income
35,American Samoa,2012,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,62.23292681,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,ASM,East Asia & Pacific,Upper middle income
36,American Samoa,2013,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,62.23292681,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,ASM,East Asia & Pacific,Upper middle income
37,American Samoa,2014,17.5,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,62.23292681,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,ASM,East Asia & Pacific,Upper middle income
38,American Samoa,2015,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,62.23292681,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,87.0,-2.0,ASM,East Asia & Pacific,Upper middle income
39,American Samoa,2016,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,ASM,East Asia & Pacific,Upper middle income
40,Andorra,2007,10.1,1.18,2997.5727469999997,1.7491328680000002,4.586322912,22.84986475,72.39136490000001,6.33545578,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,2.8,2.0,72.56210088,20.03340565,100.0,10.3,10.6,19.9,10.9,-2.0,-2.0,87.0,100.0,AND,Europe & Central Asia,High income
41,Andorra,2008,10.4,1.25,3081.87022,1.742337781,4.825070819,24.03934868,73.46993484,6.567408599999999,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,2.7,2.0,72.56210088,19.25077264,100.0,10.2,10.6,19.9,10.9,-2.0,-2.0,87.0,100.0,AND,Europe & Central Asia,High income
42,Andorra,2009,9.9,1.19,2897.932041,1.722152486,5.037537144,25.09789318,74.5232018,6.75968963,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,2.6,2.0,72.56210088,18.48650001,100.0,10.3,10.7,19.9,11.0,-2.0,-2.0,87.0,88.0,AND,Europe & Central Asia,High income
43,Andorra,2010,9.8,1.27,3173.991691,1.7572398230000001,6.242026697000001,24.04150838,78.03248812,7.99926652,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,2.5,2.0,72.56210088,15.94008813,100.0,10.4,10.8,20.0,11.1,-2.0,-2.0,87.0,86.0,AND,Europe & Central Asia,High income
44,Andorra,2011,-2.0,-2.0,2794.502813,1.777502184,4.926289306,19.30886114,73.48512127,6.70379149,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,2.4,2.0,72.56210088,19.23975305,100.0,10.5,11.0,20.2,11.3,-2.0,-2.0,87.0,100.0,AND,Europe & Central Asia,High income
45,Andorra,2012,9.5,-2.0,2993.730107,1.8002975330000002,5.747039877000001,18.88417767,76.1465874,7.54733741,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,2.3,2.0,72.56210088,17.30853731,100.0,10.7,11.3,20.4,11.6,-2.0,-2.0,87.0,100.0,AND,Europe & Central Asia,High income
46,Andorra,2013,-2.0,-2.0,4914.391178,1.785689606,9.692356794,22.32499002,84.44256502,11.4780464,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,2.2,2.0,72.56210088,11.28880166,100.0,11.1,11.7,20.6,11.9,-2.0,-2.0,87.0,60.0,AND,Europe & Central Asia,High income
47,Andorra,2014,-2.0,-2.0,3746.3341570000002,1.785689606,6.341446004,27.91529512,78.02805697,8.12713561,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,2.1,2.0,72.56210088,15.94330347,100.0,11.5,12.2,20.9,12.4,-2.0,-2.0,87.0,83.0,AND,Europe & Central Asia,High income
48,Andorra,2015,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,2.1,2.0,-2.0,-2.0,100.0,12.1,12.8,21.2,13.1,-2.0,-2.0,87.0,-2.0,AND,Europe & Central Asia,High income
49,Andorra,2016,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,12.8,13.6,21.6,13.9,-2.0,-2.0,-2.0,-2.0,AND,Europe & Central Asia,High income
50,Angola,2007,46.946999999999996,6.367999999999999,106.602519,1.1693476109999998,2.213764019,6.4167073,65.43573672,3.38311163,57.714,52.508,55.0475122,4.442698422,260.676,333.37300000000005,117.1,177687.0,77.95150931,26.94336491,29.25132348,58.3,48.4,52.2,48.9,56.57001999999999,47.43722,57.0,74.0,AGO,Sub-Saharan Africa,Lower middle income
51,Angola,2008,46.458999999999996,6.307,163.1160505,1.128599498,2.716334452,6.46450754,70.64710311,3.84493395,58.836000000000006,53.571000000000005,56.13929268,4.186336173,251.65599999999998,324.524,114.7,178385.0,67.05557968,19.68275516,30.51835214,57.0,47.9,51.9,48.5,58.02418,48.74808,59.0,37.0,AGO,Sub-Saharan Africa,Lower middle income
52,Angola,2009,45.91,6.2379999999999995,160.8354779,1.7078565730000002,2.663917207,6.35844866,60.93447057,4.37177378,59.911,54.581,57.181000000000004,3.9899897380000002,242.637,315.675,112.2,178434.0,75.38289317,29.44872632,31.78762514,55.8,47.5,51.6,48.1,59.47834,50.05895,52.0,41.0,AGO,Sub-Saharan Africa,Lower middle income
53,Angola,2010,45.31399999999999,6.162000000000001,131.7962109,1.3298914259999999,2.0612546640000002,5.43233059,60.78342274,3.39114609,60.908,55.506,58.14112195,3.81512845,233.61700000000002,306.825,109.6,178123.0,70.77174594,27.75425643,33.06118017,54.8,47.1,51.3,47.7,60.9325,51.36981,55.0,48.0,AGO,Sub-Saharan Africa,Lower middle income
54,Angola,2011,44.688,6.082000000000001,160.3607227,1.224488426,2.155094274,5.58480061,63.76805852,3.3795827000000003,61.795,56.321000000000005,58.9912439,3.679100622,224.597,297.976,106.8,177033.0,68.97822311,24.99214943,34.33781183,54.0,46.9,51.2,47.5,62.38665,52.68068,56.0,27.0,AGO,Sub-Saharan Africa,Lower middle income
55,Angola,2012,44.058,6.0,168.0272174,1.1674777170000001,2.137316503,5.57303128,64.67320992,3.30479422,62.556000000000004,57.016000000000005,59.71843902,3.508440831,215.577,289.127,104.1,175440.0,67.87318317,23.97741694,35.61386093,53.2,46.7,51.0,47.3,63.84081,53.99155,60.0,45.0,AGO,Sub-Saharan Africa,Lower middle income
56,Angola,2013,43.446000000000005,5.92,225.73659249999997,1.182623298,3.080408392,7.42322054,72.25863227,4.26303169,63.188,57.592,60.3217561,3.364503638,212.458,285.98900000000003,101.4,173460.0,67.00394723,18.58781139,36.88768637,52.4,46.7,50.9,47.2,64.35698000000001,54.46891,66.0,23.0,AGO,Sub-Saharan Africa,Lower middle income
57,Angola,2014,42.864,5.841,179.35785369999996,1.182070735,2.124912195,5.0042944,64.25531186,3.30698293,63.695,58.056000000000004,60.80673171,3.231173547,209.33900000000003,282.85,98.8,171585.0,67.03526826,23.96154759,38.15968145,51.8,46.7,50.8,47.2,64.87315,54.94628,60.0,34.0,AGO,Sub-Saharan Africa,Lower middle income
58,Angola,2015,42.321000000000005,5.766,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,64.094,58.423,61.18934146,3.084885865,206.21900000000002,279.712,96.0,169310.0,-2.0,-2.0,39.42942284,51.3,46.9,50.7,47.4,65.38931,55.42365,64.0,-2.0,AGO,Sub-Saharan Africa,Lower middle income
59,Angola,2016,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,50.9,47.2,50.8,47.7,-2.0,-2.0,-2.0,-2.0,AGO,Sub-Saharan Africa,Lower middle income
60,Antigua and Barbuda,2007,18.26,2.1830000000000003,652.2483176,1.319723244,2.9499999960000003,10.80805582,69.09112911,4.26972324,77.273,72.454,74.80473171,-2.0,118.561,167.42700000000002,9.2,17.0,74.70565698,23.09067506,85.15275594,32.9,23.8,26.0,23.9,82.99096999999999,76.07488000000001,87.0,50.0,ATG,Latin America & Caribbean,High income
61,Antigua and Barbuda,2008,17.906,2.164,740.6885417000001,1.348982944,3.3430313860000003,12.26851746,71.24938567,4.69201433,77.452,72.63,74.98219512,-2.0,117.031,165.5,8.8,16.0,77.09521600000001,22.16534822,85.54467701,32.7,23.2,25.6,23.3,83.2213,76.33343,87.0,100.0,ATG,Latin America & Caribbean,High income
62,Antigua and Barbuda,2009,17.586,2.146,679.6804092,1.518162424,3.3438995960000004,11.38425212,68.77533816,4.86206202,77.628,72.793,75.15153659,-2.0,115.501,163.57299999999998,8.2,15.0,77.06685277,24.06386417,85.93659809,32.4,22.6,25.2,22.7,83.45164,76.59196999999999,87.0,67.0,ATG,Latin America & Caribbean,High income
63,Antigua and Barbuda,2010,17.308,2.13,732.6811757,1.7349672580000002,3.893547142,16.35557274,69.1753963,5.6285144,77.8,72.945,75.31329268,-2.0,113.97,161.64600000000002,7.7,15.0,74.92936796,23.09668073,86.32851916,32.2,22.0,24.9,22.1,83.68196999999999,76.85051999999999,87.0,33.0,ATG,Latin America & Caribbean,High income
64,Antigua and Barbuda,2011,17.070999999999998,2.115,724.0195076,1.757489621,3.8910395589999998,15.17565915,68.88588931,5.64852918,77.967,73.09100000000001,75.46953659,-2.0,112.44,159.719,7.2,14.0,73.96914242,23.01484085,86.72044024,32.1,21.6,24.7,21.8,83.9123,77.10906,87.0,17.0,ATG,Latin America & Caribbean,High income
65,Antigua and Barbuda,2012,16.867,2.102,728.4813241,1.733605616,3.652332634,17.15825866,67.81237483,5.38593825,78.12899999999999,73.234,75.62180488,-2.0,110.91,157.793,6.8,13.0,74.9882204,24.1369273,87.11236131,32.0,21.4,24.6,21.5,84.14264,77.36761,87.0,50.0,ATG,Latin America & Caribbean,High income
66,Antigua and Barbuda,2013,16.684,2.089,711.4303559,1.739630437,3.592597393,16.28771257,67.37516677,5.33222783,78.28699999999999,73.38,75.77365854,-2.0,109.605,156.19799999999998,6.4,13.0,74.72851548,24.38005355,87.50428238,31.9,21.3,24.6,21.4,84.33782,77.61895,87.0,67.0,ATG,Latin America & Caribbean,High income
67,Antigua and Barbuda,2014,16.519000000000002,2.076,773.7122465,1.7570724340000001,3.7846106760000002,18.0845175,68.29352384,5.54168311,78.44,73.528,75.92409756,-2.0,108.3,154.60399999999998,6.1,12.0,74.72851548,23.69377894,87.50428238,31.9,21.3,24.6,21.4,84.53301,77.87029,87.0,-2.0,ATG,Latin America & Caribbean,High income
68,Antigua and Barbuda,2015,16.367,2.063,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,78.59,73.681,76.07563415,-2.0,106.995,153.01,5.8,12.0,-2.0,-2.0,87.50428238,32.1,21.6,24.7,21.7,84.7282,78.12162,-2.0,-2.0,ATG,Latin America & Caribbean,High income
69,Antigua and Barbuda,2016,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,32.3,22.0,25.0,22.1,-2.0,-2.0,-2.0,-2.0,ATG,Latin America & Caribbean,High income
70,Argentina,2007,18.553,2.4130000000000003,539.2377727999999,2.711509209,3.7830748410000004,15.36736969,58.24968638,6.49458405,78.936,71.274,75.01156098,0.149411176,82.461,167.203,14.1,11854.0,61.51084345,25.68097005,94.87199978,19.0,15.1,27.7,15.7,86.16726,73.90064,87.0,60.0,ARG,Latin America & Caribbean,Upper middle income
71,Argentina,2008,18.417,2.396,673.8421046,2.542621038,4.121097352,15.79489415,61.84381018,6.66371839,79.107,71.423,75.17129268,0.145587432,81.321,165.27200000000002,13.7,11422.0,59.24364052,22.60511593,94.89024992,18.9,15.0,27.4,15.5,86.351,74.18204,87.0,38.0,ARG,Latin America & Caribbean,Upper middle income
72,Argentina,2009,18.285,2.3819999999999997,711.9541955,2.593972611,5.040785799,17.12723141,66.02416905,7.63475841,79.275,71.575,75.33109756,0.15727116900000002,80.18,163.341,13.4,11017.0,59.24424869,20.12872578,94.89517639,18.9,14.9,27.3,15.5,86.53475,74.46343,87.0,43.0,ARG,Latin America & Caribbean,Upper middle income
73,Argentina,2010,18.154,2.37,738.4808230000001,2.386673815,4.163482345,14.07339845,63.56310053,6.55015616,79.439,71.733,75.49202439,0.145415024,79.04,161.41,13.0,10681.0,60.37721456,21.99958497,94.87316201,19.1,15.0,27.2,15.5,86.7185,74.74483000000001,87.0,45.0,ARG,Latin America & Caribbean,Upper middle income
74,Argentina,2011,18.019000000000002,2.358,795.7502931,2.147350147,3.745392503,11.81500096,63.55941071,5.89274265,79.59899999999999,71.896,75.65356098,0.140495454,77.899,159.48,12.7,10424.0,63.19148008,23.02734772,94.8520006,19.3,15.1,27.2,15.7,86.90225,75.02623,87.0,49.0,ARG,Latin America & Caribbean,Upper middle income
75,Argentina,2012,17.875,2.347,726.7943481000001,2.060097296,2.9589508739999997,8.741289300000002,58.95442270000001,5.01904817,79.752,72.065,75.8147561,0.137066584,76.759,157.549,12.3,10224.0,65.46371812,26.86996102,94.83164675,19.7,15.4,27.3,15.9,87.08599,75.30763,87.0,56.0,ARG,Latin America & Caribbean,Upper middle income
76,Argentina,2013,17.717,2.335,731.4512884,2.251850572,2.735022008,7.72304601,54.84443335,4.98687258,79.899,72.237,75.97456098,0.133253945,76.02199999999999,155.817,11.9,9973.0,66.8504902,30.18671766,94.83445952,20.1,15.8,27.5,16.3,87.22185,75.6039,87.0,51.0,ARG,Latin America & Caribbean,Upper middle income
77,Argentina,2014,17.547,2.322,605.1878448,2.133242362,2.652673798,6.91697394,55.42666668,4.78591616,80.04,72.414,76.134,0.130655156,75.28399999999999,154.085,11.5,9770.0,68.93631249,30.72721234,94.83720446,20.7,16.4,27.7,16.9,87.35771,75.90018,87.0,52.0,ARG,Latin America & Caribbean,Upper middle income
